CODFILIAL;CODPROD;DESCRICAO;CODFORNEC;FORNECEDOR;EMBALAGEM;QTESTGER;QTINDENIZ;QTRESERV;QTPENDENTE;CUSTOULTENT;PVENDA;QTBLOQUEADA;QT_DISP
1;299;IOGURTE NESTLE GREGO LIGHT MAR 48X170G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;CX 48X170G;0;0;0;0;1,333611;2,03;0;0
1;333;NESTON IOGURTE POLPA 2 SABORES 6X540G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;540G;2249;0;479;60;3,108391;5,4;0;1710
1;403;NESTLE GREGO TORTA DE MORANGO 48X90G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;90G;0;0;0;0;1,166828;1,7;0;0
1;404;LEITE FERM CHAMYTO CITRUS 20X6X75G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;PC 6X75G;0;0;0;0;0,620107;5,45;0;0
1;405;LEITE FERM NINHO 20X6X75G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;PC 6X75G;0;0;0;0;3,12651;4,75;0;0
1;454;CHANDELLE CHANTILLY CAFE 24X200G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;24X200G;0;0;0;0;3,049127;4,35;0;0
1;448;CHANDELLE CHANTILLY CHOCOLATE 24X200G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;200G;363;0;60;26;3,030135;4,9;0;277
1;449;CHANDELLE CHANTILLY CARAMELO 24X200G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;24X200G;237;0;3;24;3,030156;4,9;0;210
1;450;CHANDELLE CHOCOLATE 24X180G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;180G;401;0;150;24;2,64256;4,75;0;227
1;451;CHAMBINHO CHOCOLATE 16X320G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;320G;694;0;134;16;3,583524;6,7;0;544
1;452;CHAMBINHO PETIT ALGOD DOCE E TRF 16X320G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;16X320G;0;0;0;0;3,545846;5,29;0;0
1;453;CHANDELLE CHOCOLATE 18X360G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;360G;354;0;102;18;4,19932;7,3;0;234
1;505;NESTLE GREGO TORTA DE LIMAO 48X90G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;90G;0;0;0;0;1,166828;1,7;0;0
1;506;IOGURTE GREGO NESTLE TORTA MACA 48X90G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;48X90G;0;0;0;0;1,049321;1,6;0;0
1;705;CHANDELLE CHOCOLATE BRANCO 24X180G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;180G;0;0;0;0;2,602285;3,9;0;0
1;759;CHAMYTO LEITE FERMENTADO 21X6X75G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;PC 6X75G;611;0;126;0;3,279319;5,3;0;485
1;828;IOGURTE NESTLE GREGO BLUEBERRY 12X360G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;12X360G;0;0;0;0;3,620388;5,89;0;0
1;843;IOGURTE NINHO POLPA S/LACTOSE MRG 12X360;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;12X360G;0;0;0;0;2,84591;4,62;0;0
1;844;NINHO IOGURTE FRUTI UVA 8X250G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;250G;0;0;0;0;2,565831;3,75;0;0
1;807;IOGURTE GREGO NESTLE LIGHT TRADIC 48X90G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;48X90G;0;0;0;0;1,051955;1,6;0;0
1;808;NESTLE GREGO IOG LT TORTA MARJ 48X90G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;90G;0;0;0;0;1,167046;1,7;0;0
1;809;NESTLE GREGO IOG LIGHT T FRT VERM 48X90G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;90G;0;0;0;0;1,255058;1,7;0;0
1;810;NESTLE GREGO TRADICIONAL 48X90G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;90G;0;0;0;0;1,166828;1,7;0;0
1;811;IOGURTE GREGO NESTLE TORTA BANANA 48X90G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;48X90G;0;0;0;0;1,051943;1,6;0;0
1;842;NESTLE IOG LIQ MORANGO 0 LACTOSE 24X170G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;170G;0;0;0;0;1,195013;1,8527;0;0
1;805;NINHO SOLEIL PETIT LEITE 28X320G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;28X320G;0;0;0;0;3,636578;5,49;0;0
1;806;IOGURTE NESTLE GREGO LIGHT LIMAO 12X360G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;12X360G;0;0;0;0;3,36674;5,89;0;0
1;1517;NESTON IOGURTE LIQ MACA E BAN 24X170G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;170G;1148;0;169;55;1,243635;2,1;0;924
1;1518;NESTLE BEB LACTEA POLPA 2 SABORES 6X540G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;540G;0;0;0;0;1,972959;2,88;0;0
1;1519;NESTLE GREGO IOG TRAD + MRG 6X600G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;600G;350;0;81;0;5,620339;9,1;0;269
1;1520;CHAMYTO GO IOG LIQ VITAMINA 24X100G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;100G;288;0;264;24;1,468563;2,5;0;0
1;1504;NESTLE IOGURTE MORANGO Z LACTOZE 12X360G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;360G;0;0;0;0;3,365539;4,97;0;0
1;1505;NESTLE IOG VIT DE FRUTA 24X170G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;170G;399;0;222;48;1,335094;1,9;0;129
1;1506;NESTLE IOG VIT DE FRUTA 12X900G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;900G;447;0;94;25;5,474063;8,4;0;328
1;1507;NINHO PETIT MRG E LEITE 16X320G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;320G;0;0;0;0;3,419259;5,2;0;0
